year,species_code,age,males,females,unsexed
1993,30050,13,2155623.4407606283,2426897.8200721876,6070.424148315453
1993,30050,14,1237199.1228599832,2234359.306341981,1990.0919442875966
1993,30050,15,1361358.977902,1592644.2420946958,3193.167654808959
1993,30050,16,1279236.2506745704,2566364.9320603544,2538.472896668549
1993,30050,17,1265313.144966553,1510089.751471078,1873.8777056277056
1993,30050,18,470224.99550123076,922977.0723379304,479.83333333333326
1993,30050,19,1034410.4882764295,447899.3199010226,205.64285714285714
1993,30050,20,892312.4001305067,580899.0227066535,500.73913043478257
1993,30050,21,1022959.4074834479,408389.8382352941,0
1993,30050,22,695798.9878944585,0,174.4848484848485
1993,30050,23,1044159.1329736441,296285.78186274506,348.969696969697
1993,30050,24,461572.20925642987,134061.38461538462,174.4848484848485
1993,30050,25,657392.468031968,274570.3881578947,0
1993,30050,26,98473.26190476191,227807.9583333333,174.4848484848485
1993,30050,27,207405,64952.08333333333,0
1993,30050,28,18670.5,666215.6287878788,0
1993,30050,29,99968.11764705883,124915.07692307694,174.4848484848485
1993,30050,30,548953.55135918,290266.30476190476,174.4848484848485
1993,30050,31,428066.0332314744,221294.46666666667,174.4848484848485
1993,30050,32,270461.32467532466,370450.83458646614,0
1993,30050,33,231591.36796536797,384990.6525518341,0
1993,30050,34,525966.7550096962,133243.88815789472,174.4848484848485
1993,30050,35,231646.65271493213,232230.62352941177,0
1993,30050,36,508276.5835622711,551624.7421191554,174.4848484848485
1993,30050,37,148889.45098039217,109662.33333333333,174.4848484848485
1993,30050,38,237561.78021978022,200778.88815789472,0
1993,30050,39,52520.5,117212.33333333333,0
1993,30050,40,0,778608.6833778966,0
1993,30050,41,98910.96153846155,133211.53333333333,0
1993,30050,42,247704.625,94854.8,0
1993,30050,43,38540.42857142857,94854.8,0
1993,30050,44,0,109662.33333333333,0
1993,30050,45,71899.92424242424,0,0
1993,30050,46,80240.46153846155,89828.7,0
1993,30050,47,22296.666666666664,48908.625,0
1993,30050,49,0,13907,0
1993,30050,50,7624,23549.2,0
1993,30050,51,0,7550,0
1993,30050,52,22062.833333333332,0,0
1993,30050,53,0,7550,0
1993,30050,55,7624,0,0
1993,30050,59,24955.25,0,0
1993,30050,60,80240.46153846155,0,0
1993,30050,62,0,34284.5,0
1993,30050,65,1951.8000000000002,0,0
1993,30050,69,26693.13333333333,0,0
1993,30050,70,26858.5,0,0
1993,30050,72,0,34284.5,0
1993,30050,75,22296.666666666664,25833,0
1993,30050,79,1951.8000000000002,0,0
1993,30050,81,0,7550,0
1993,30050,82,24955.25,0,0
1993,30050,84,24741.333333333332,0,0
1993,30050,87,27565.25,0,0
1993,30050,88,1951.8000000000002,0,0
1993,30050,98,1951.8000000000002,0,0
1993,30050,100,23131,0,0
1993,30050,112,0,0,0
1993,30050,121,33461.666666666664,0,0
1993,30050,130,16008,0,0
1993,30050,132,8567.5,0,0
1996,30050,3,110852,0,0
1996,30050,4,12575.5,0,0
1996,30050,5,552549.0436507936,415144.7,2592
1996,30050,6,3353391.2619047617,3502238.6333333333,18452
1996,30050,7,318152.3888888889,502667.5,0
1996,30050,8,459162.2857142857,494662.9166666666,0
1996,30050,9,772237.344012605,751503.4761904762,1728
1996,30050,10,453072.1211238881,649288.673076923,0
1996,30050,11,261635.36330213904,908037.5397435897,0
1996,30050,12,1581014.0974340932,595519.4426847663,0
1996,30050,13,829545.5386922632,1121186.468265132,0
1996,30050,14,1537847.5535650623,1836734.8989130436,0
1996,30050,15,1990428.3777949775,1328548.0212817234,0
1996,30050,16,1516717.4503285843,1726930.6722567286,0
1996,30050,17,1139935.9410560715,1319111.7599695062,0
1996,30050,18,730215.8998776465,588171.6992753623,0
1996,30050,19,755116.4048128342,921256.9819906224,0
1996,30050,20,867557.4421420083,971251.5417701863,0
1996,30050,21,411262.1885546643,598916.0705128205,0
1996,30050,22,231844.23863636365,720324.3760180996,0
1996,30050,23,463427.4725232198,427454.85699062236,0
1996,30050,24,142798.52205882352,410219.80833333335,0
1996,30050,25,62546.88888888889,383651.5416666667,0
1996,30050,26,373087.7356060606,170324.2663043478,0
1996,30050,27,170599.86111111112,175841.25,0
1996,30050,28,127583.86111111111,349724.64460784313,0
1996,30050,29,72207.63333333333,202440.3205128205,0
1996,30050,30,314313.66928104573,189287.06127450982,0
1996,30050,31,389367.5375,59959.666666666664,0
1996,30050,32,86506.73863636365,388590.37329497014,0
1996,30050,33,228956.58758169936,440018.4182651321,0
1996,30050,34,175333.5931372549,558191.5050823005,0
1996,30050,35,344291.9555555555,467850.42174896714,0
1996,30050,36,313186.1747474748,316872.0067873303,0
1996,30050,37,184896.22474747474,60648.25,0
1996,30050,38,131036.17647058824,258436.1606334842,0
1996,30050,39,57250,217150.07239819004,0
1996,30050,40,99212.00833333333,195971.29901960783,0
1996,30050,41,156712.8401069519,125752.39130434782,0
1996,30050,42,194346.1611111111,117075.0906862745,0
1996,30050,43,121751.33333333333,276491.04901960783,0
1996,30050,44,151462.26666666666,178322.173453997,0
1996,30050,45,68592.475,0,0
1996,30050,46,49525.33333333333,0,0
1996,30050,47,0,60543,0
1996,30050,50,2932,0,0
1996,30050,51,0,2489,0
1996,30050,57,13783.800000000001,0,0
1996,30050,63,27875,0,0
1996,30050,65,46593.33333333333,0,0
1996,30050,71,27875,0,0
1996,30050,74,0,26224,0
1996,30050,94,29194.375,0,0
1999,30050,4,553454.9761904762,705060.2619047619,0
1999,30050,5,1400065.8562770563,1242508.4285714286,0
1999,30050,6,460866,820509.0305250306,0
1999,30050,7,845938.8974025974,822827.0749694749,0
1999,30050,8,1310642.3097402598,1686341.1646020645,0
1999,30050,9,3591213.376973027,3435808.0685481187,0
1999,30050,10,1323117.712837163,1255100.8167721168,0
1999,30050,11,725552.6857142857,1491600.0732323232,0
1999,30050,12,465716.7286324786,486114.73846153845,0
1999,30050,13,1411304.8916472415,796729.0260517261,0
1999,30050,14,1293285.7105394606,964482.3464868465,0
1999,30050,15,902935.4721778221,1397302.1910811411,0
1999,30050,16,1668846.6067682318,1117068.8977411478,0
1999,30050,17,1027010.1357753358,1338618.1283161284,0
1999,30050,18,1461374.5367771117,1423789.3477633477,0
1999,30050,19,651622.0891330892,868111.4504273504,0
1999,30050,20,1040718.1128538129,805843.4227994228,0
1999,30050,21,311048.96752136754,647444.6567599068,0
1999,30050,22,320328.0307692308,657930.3706293707,0
1999,30050,23,529710.3524475525,363066.9318181818,0
1999,30050,24,204892.2869047619,458654.1854256854,0
1999,30050,25,257559.7898989899,238563.23443223443,0
1999,30050,26,82407.46153846155,198920.63636363635,0
1999,30050,27,155420.23076923078,206088.3822843823,0
1999,30050,28,313286.2571428572,308547.50865800865,0
1999,30050,29,265914.125,113494,0
1999,30050,30,129287.85714285713,227773.97252747254,0
1999,30050,31,262579.6641025641,208754.95238095237,0
1999,30050,32,196988.6480769231,46552.818181818184,0
1999,30050,33,135202.3186813187,126378.33333333333,0
1999,30050,34,193517.61428571428,214698.48484848483,0
1999,30050,35,137169.36923076923,30565.5,0
1999,30050,36,368437.9557692308,315018.1666666666,0
1999,30050,37,299703.6923076923,36451,0
1999,30050,38,66163.125,109956,0
1999,30050,39,107855.76923076923,61538.33333333333,0
1999,30050,40,200224.21547619047,67909.61538461539,0
1999,30050,41,153883.14545454545,149220,0
1999,30050,43,36797.83333333333,151982.44871794872,0
1999,30050,44,36797.83333333333,165320,0
1999,30050,45,21729.75,0,0
1999,30050,46,0,41222,0
1999,30050,49,0,116307,0
1999,30050,50,52794.85714285714,24480,0
1999,30050,56,25279,0,0
1999,30050,62,0,0,0
1999,30050,72,21729.75,0,0
1999,30050,92,0,46017,0
1999,30050,129,41327,0,0
2003,30050,2,109344.5,221529,548570.1000000001
2003,30050,3,612504,225776.25,532230.7952380952
2003,30050,4,254819.85714285713,527863.8,103911.37142857142
2003,30050,5,1858440.1809523809,1336893.2666666666,22454.066666666666
2003,30050,6,1440673.9115079364,730420.9388888889,70133.66666666667
2003,30050,7,827442.9396825397,494502.626984127,0
2003,30050,8,1211811.6253968254,1454201.6396825397,0
2003,30050,9,1340219.548015873,1111459.3253968253,0
2003,30050,10,448370.74603174604,671316.0071428572,0
2003,30050,11,423154.62261904764,555607.1571428571,0
2003,30050,12,988161.2833333333,823258.0797619048,0
2003,30050,13,1018623.9170634921,842601.2345238095,0
2003,30050,14,1298273.7464285714,754377.6440476191,0
2003,30050,15,430947.8416666667,225302.57142857142,0
2003,30050,16,777797.0142857142,706722.7523809524,0
2003,30050,17,855376.4523809523,365536.1785714285,0
2003,30050,18,364665.94444444444,449651.9607142857,0
2003,30050,19,721923.1904761904,216170.10714285713,0
2003,30050,20,1007319.7976190476,1236941.7333333334,0
2003,30050,21,780761.5515873015,721969.6678571429,0
2003,30050,22,509648.375,1393546.9666666668,0
2003,30050,23,664211.2698412698,1240455.7416666667,0
2003,30050,24,434459.4,747470.6416666666,0
2003,30050,25,468472.27976190473,961083.8,0
2003,30050,26,746850.4523809523,682285.0833333334,0
2003,30050,27,280145.71428571426,552058.8333333334,0
2003,30050,28,159209.5,378463.8333333333,0
2003,30050,29,431717.8333333333,110377.33333333333,0
2003,30050,30,840867.992063492,111069.64285714286,0
2003,30050,31,146586.5,440175.6369047619,0
2003,30050,32,185213,286327.5535714285,0
2003,30050,33,166723.57142857142,375099.1964285714,0
2003,30050,34,78589.5,153118.125,0
2003,30050,35,108943.77777777777,255880.125,0
2003,30050,36,89453,294280.025,0
2003,30050,37,182181.85714285713,76059,0
2003,30050,38,0,145797.125,0
2003,30050,39,0,39713.625,0
2003,30050,40,198092.06666666668,87319,0
2003,30050,41,272929.21428571426,0,0
2003,30050,42,533950.3047619048,212167,0
2003,30050,43,331454.7380952381,37035.666666666664,0
2003,30050,44,115862,167891.875,0
2003,30050,45,128455.44444444444,0,0
2003,30050,46,0,161121.93333333335,0
2003,30050,48,19511.666666666664,12038,0
2003,30050,49,166723.57142857142,0,0
2003,30050,50,0,76749.29166666666,0
2003,30050,51,46260,0,0
2003,30050,52,25915,0,0
2003,30050,53,0,50744.600000000006,0
2003,30050,54,0,39713.625,0
2003,30050,55,0,183954.02857142856,0
2003,30050,59,12957,0,0
2003,30050,62,178580.40000000002,0,0
2003,30050,63,70350,0,0
2003,30050,65,178580.40000000002,15137.25,0
2003,30050,66,63739.5,0,0
2003,30050,68,0,0,0
2003,30050,70,28426,0,0
2003,30050,73,0,23730,0
2003,30050,79,46260,0,0
2003,30050,82,0,37953,0
2003,30050,91,0,18976.5,0
2003,30050,99,0,0,0
2005,30050,3,1144299.5,1077718.5,0
2005,30050,4,1597089.7,1176576.9,0
