year,species_code,age,males,females,unsexed
2009,10180,34,680437.7428571428,635085.5888888888,0
2009,10180,35,537096.5833333333,108255,0
2009,10180,36,247167,584458.3833333333,0
2009,10180,37,2106668.7393939393,706874.4920634921,0
2009,10180,38,1053560.053968254,134517.3333333333,0
2009,10180,39,78176,542152.3111111111,0
2009,10180,40,133154.14285714284,0,0
2009,10180,41,565906.8888888889,454490.9111111111,0
2009,10180,42,954632.2222222222,452818.0444444445,0
2009,10180,43,796510.4444444444,267082.3333333333,0
2009,10180,44,0,188122.7,0
2009,10180,45,0,860066.9166666666,0
2009,10180,46,0,236951.6,0
2009,10180,47,1943393.9616161617,0,0
2009,10180,48,0,363283.875,0
2009,10180,49,753443.1706349206,230676.1111111111,0
2009,10180,50,0,78856,0
2009,10180,51,0,78856,0
2009,10180,52,397730.60000000003,0,0
2009,10180,53,604126.1555555556,215866.44444444444,0
2009,10180,55,300116.60000000003,0,0
2009,10180,57,401398.85000000003,407678.75,0
2009,21720,1,9300505.75,9208581.5,129985015.8
2009,21720,2,18527036.5,23617857.933333334,163955.2
2009,21720,3,83290744.27619047,63997007.333333336,118673.30982905983
2009,21720,4,65937416.26428571,63374960.07857143,333329.4942696193
2009,21720,5,33002534.85952381,40868303.354761906,239548.39397824398
2009,21720,6,13177362.48095238,8162205.816666666,58792.276923076926
2009,21720,7,1362652.1666666667,2724420.9,3955
2009,21720,8,1519394.7023809524,985366.0833333333,5042.525
2009,21720,9,133821,162880.3333333333,0
2009,21720,10,0,136743.66666666666,0
2009,21740,1,101859877.66666667,88834290.5,154495390.62424242
2009,21740,2,72356598.48333333,58064534.58540057,190568.7090909091
2009,21740,3,56190747.62885242,74645311.77882084,3914.6666666666665
2009,21740,4,66202726.216088355,78730854.75615382,3347.4548387096775
2009,21740,5,47931518.62528622,61984848.26290857,8481.147804077642
2009,21740,6,10978893.290850816,17430787.4710947,7094.807991202346
2009,21740,7,8273245.927838828,9753321.88865051,10577.834420821115
2009,21740,8,8979669.79888445,18034828.54693914,29078.154924242426
2009,21740,9,17606652.596053947,36989170.5705576,60734.56883116883
2009,21740,10,7712849.08972694,22015665.978593465,34650.36617092585
2009,21740,11,2479597.7384226886,7339449.166654914,10952.468354629242
2009,21740,12,2514190.485064935,4567924.296498599,6808.317082111436
2009,21740,13,1715907.0243589743,1078243.8681818182,1675.4602272727273
2009,21740,14,1038745.4285714285,574405.3295454546,2178.4193548387098
2009,30060,1,311191,182326.3333333333,228539
2009,30060,2,3050477.214285714,2151135.1666666665,591157.4388888889
2009,30060,3,49816297.45894661,42932424.7,9305184.27385621
2009,30060,4,27681314.725974027,19212197.3,5358397.73020362
2009,30060,5,27824621.40238095,28528770.616666667,739238.6544871795
2009,30060,6,13496838.079365078,15491001.616666665,454307.90256410255
2009,30060,7,74510090.69285715,38674969.645238094,0
2009,30060,8,55277035.20952381,21410223.726190478,0
2009,30060,9,52918821.32142857,71197686.45396826,0
2009,30060,10,28767609.566666666,26752242.26190476,0
2009,30060,11,30889015.64285714,30831987.91269841,0
2009,30060,12,35876609.809523806,57277539.56666666,0
2009,30060,13,30109764.083333332,10416636.600000001,0
2009,30060,14,16670114.404761903,28796941.633333337,0
2009,30060,15,18736851.035714284,36667845.54444444,0
2009,30060,16,3259033.2857142854,12417141.200000001,0
2009,30060,17,3259033.2857142854,4129999.6,0
2009,30060,18,17115543.666666664,0,0
2009,30060,19,4233245.085714285,1308327,0
2009,30060,20,2439714.6,11894148.833333332,0
2009,30060,21,17519745.683333334,19624309.200000003,0
2009,30060,22,34758966.233333334,38111567.06666667,0
2009,30060,23,11816805.119047618,3282187,0
2009,30060,24,8112342.571428571,17882066.82222222,0
2009,30060,25,0,975158.7333333334,0
