year,species_code,length,males,females,unsexed
2011,30152,260,10102,0,0
2013,30152,260,101376,54208,0
2015,30152,260,29278,30665,0
2017,30152,260,14120,14120,0
2019,30152,260,0,0,0
2021,30152,260,0,0,0
1996,30152,270,11665,36688,0
1999,30152,270,0,19125,0
2001,30152,270,153470,6440,0
2003,30152,270,451747,629948,0
2005,30152,270,90665,12575,0
2007,30152,270,30337,22504,0
2009,30152,270,152959,80032,0
2011,30152,270,10102,0,0
2013,30152,270,19467,41413,0
2015,30152,270,29099,0,0
2017,30152,270,21615,12399,0
2019,30152,270,17161,0,0
2021,30152,270,0,0,0
1996,30152,280,28840,0,0
1999,30152,280,0,0,0
2001,30152,280,0,54502,0
2003,30152,280,625020,858605,0
2005,30152,280,63706,47116,0
2007,30152,280,0,36302,0
2009,30152,280,183009,83379,0
2011,30152,280,12510,0,0
2013,30152,280,18069,30301,0
2015,30152,280,30665,19410,0
2017,30152,280,14120,36995,0
2019,30152,280,19114,151852,0
2021,30152,280,57455,0,0
1996,30152,290,207350,32864,0
1999,30152,290,20808,0,0
2001,30152,290,337157,254062,0
2003,30152,290,803440,885015,0
2005,30152,290,240787,261287,0
2007,30152,290,15169,26938,0
2009,30152,290,169684,167214,0
2011,30152,290,13419,0,0
2013,30152,290,54843,91620,0
2015,30152,290,13073,16026,0
2017,30152,290,50694,11439,0
2019,30152,290,149821,63507,0
2021,30152,290,89008,44022,0
1996,30152,300,21662,70559,0
1999,30152,300,20808,44615,0
2001,30152,300,236483,411337,0
2003,30152,300,1663632,1084044,0
2005,30152,300,147136,496984,0
2007,30152,300,61601,65940,0
2009,30152,300,232487,253002,0
2011,30152,300,57412,51796,0
2013,30152,300,54070,124527,0
2015,30152,300,20310,47278,0
2017,30152,300,95862,107592,0
2019,30152,300,77019,39820,0
2021,30152,300,133839,38192,0
1996,30152,310,12229,72791,0
1999,30152,310,77122,112134,0
2001,30152,310,561074,219599,0
2003,30152,310,505701,1136986,0
2005,30152,310,1038116,235273,0
2007,30152,310,11144,45839,0
2009,30152,310,84211,286653,0
2011,30152,310,95370,22612,0
2013,30152,310,182856,68197,0
2015,30152,310,55391,86111,0
2017,30152,310,449871,265928,0
2019,30152,310,171737,105632,0
2021,30152,310,14109,22765,0
1996,30152,320,48837,48917,0
1999,30152,320,113894,155364,0
2001,30152,320,601641,307546,0
2003,30152,320,859469,1030488,0
2005,30152,320,630335,1042924,0
2007,30152,320,86811,110943,0
2009,30152,320,245780,231421,0
2011,30152,320,94134,29432,0
2013,30152,320,38326,164513,0
2015,30152,320,0,107740,0
2017,30152,320,366759,297709,0
2019,30152,320,92917,110602,0
2021,30152,320,72248,113568,0
1996,30152,330,265695,71160,0
1999,30152,330,139155,132222,0
2001,30152,330,379970,331562,0
2003,30152,330,2008601,1273581,0
2005,30152,330,951091,1038178,0
2007,30152,330,75850,74023,0
2009,30152,330,184862,62869,0
2011,30152,330,192220,0,0
2013,30152,330,114609,169677,0
2015,30152,330,63604,68573,0
2017,30152,330,297804,363659,0
2019,30152,330,311264,78265,0
2021,30152,330,197003,69470,0
1996,30152,340,48625,96511,0
1999,30152,340,257364,192934,0
2001,30152,340,568629,239338,0
2003,30152,340,242357,252464,0
2005,30152,340,1357521,992714,0
2007,30152,340,317121,263006,0
2009,30152,340,191250,133015,0
2011,30152,340,123900,157578,0
2013,30152,340,149058,67201,0
2015,30152,340,89502,119709,0
2017,30152,340,286658,209694,0
2019,30152,340,209300,266298,0
2021,30152,340,57500,131915,0
1996,30152,350,66377,232783,0
1999,30152,350,295658,200042,0
2001,30152,350,274562,443819,0
2003,30152,350,333755,350897,0
2005,30152,350,1585676,1060443,0
2007,30152,350,367769,379225,0
2009,30152,350,185039,124552,0
2011,30152,350,116373,211171,0
2013,30152,350,146703,147536,0
2015,30152,350,88976,113357,0
2017,30152,350,545860,302737,0
2019,30152,350,254990,380517,15898
2021,30152,350,93092,152245,0
1996,30152,360,44740,12229,0
1999,30152,360,229731,273252,0
2001,30152,360,563886,570988,0
2003,30152,360,515228,279146,0
2005,30152,360,3043737,2674353,0
2007,30152,360,152857,528544,0
2009,30152,360,267274,123125,0
2011,30152,360,465687,371233,0
2013,30152,360,282898,184044,0
2015,30152,360,90472,206550,0
2017,30152,360,672005,540371,0
2019,30152,360,652359,548647,15898
2021,30152,360,306969,434557,0
1996,30152,370,133517,286838,0
1999,30152,370,195032,326191,0
2001,30152,370,545454,519107,0
2003,30152,370,1551539,1093828,0
2005,30152,370,1664952,1601550,0
2007,30152,370,359299,580139,0
2009,30152,370,122994,173788,0
2011,30152,370,640778,417542,0
2013,30152,370,237680,469780,0
2015,30152,370,181705,174934,0
2017,30152,370,665351,910368,0
2019,30152,370,811688,791305,0
2021,30152,370,371174,258202,0
1996,30152,380,269220,175122,0
1999,30152,380,326032,300136,0
2001,30152,380,478494,602936,0
2003,30152,380,2579271,2213604,0
2005,30152,380,3926144,2540048,0
2007,30152,380,650179,631226,0
2009,30152,380,144755,357817,0
2011,30152,380,765270,202150,0
2013,30152,380,387154,393478,0
2015,30152,380,275404,236259,0
2017,30152,380,797133,624450,0
2019,30152,380,1698021,1510370,0
2021,30152,380,450923,450450,0
1996,30152,390,423994,360396,0
1999,30152,390,350586,180706,0
2001,30152,390,854716,745616,0
2003,30152,390,2242867,2231256,0
2005,30152,390,2249286,1617108,0
2007,30152,390,1339147,1221699,0
2009,30152,390,167946,347018,0
2011,30152,390,1493154,573542,0
2013,30152,390,549999,120218,0
2015,30152,390,309328,255761,0
2017,30152,390,871613,650357,0
2019,30152,390,1864579,2268307,0
2021,30152,390,613560,425027,0
1996,30152,400,864866,893724,0
1999,30152,400,425651,597785,0
2001,30152,400,727011,934386,0
2003,30152,400,2208966,1864478,0
2005,30152,400,2872139,2307503,0
2007,30152,400,1474681,2097905,0
2009,30152,400,489760,460794,0
2011,30152,400,1625449,778916,0
2013,30152,400,349627,240516,0
2015,30152,400,297911,319083,0
2017,30152,400,1468707,1328226,0
2019,30152,400,2047992,2199692,0
2021,30152,400,1091548,662993,0
1996,30152,410,2054708,1840419,0
1999,30152,410,829537,341450,0
2001,30152,410,939942,1000749,0
2003,30152,410,1747508,1374811,0
2005,30152,410,2881949,2746578,0
2007,30152,410,2109945,1799240,0
2009,30152,410,872616,553368,0
2011,30152,410,1480663,1826242,0
2013,30152,410,942829,386550,0
2015,30152,410,453973,372307,0
2017,30152,410,1645929,1299677,0
2019,30152,410,3041096,2250306,15898
2021,30152,410,1557321,1148003,0
1996,30152,420,1981926,1182529,0
1999,30152,420,1360923,1089138,0
2001,30152,420,945559,702063,0
2003,30152,420,1548078,1572843,0
2005,30152,420,4480461,4370925,0
2007,30152,420,3395115,2079672,13469
2009,30152,420,960213,736071,0
2011,30152,420,2832051,2316942,29827
2013,30152,420,1391268,1290934,0
2015,30152,420,482322,564075,0
2017,30152,420,1186161,1315005,0
2019,30152,420,2990009,3243289,0
2021,30152,420,1781085,1500723,0
1996,30152,430,3122439,3063861,0
1999,30152,430,1838050,1636630,0
2001,30152,430,879874,854911,0
2003,30152,430,1712871,2287930,0
2005,30152,430,5265743,6111501,0
2007,30152,430,3180850,2105056,0
2009,30152,430,1928844,1469327,0
2011,30152,430,2990352,4700227,12227
2013,30152,430,4229370,2080008,0
2015,30152,430,466082,612923,0
2017,30152,430,1236764,1865207,0
2019,30152,430,3303964,2874887,0
2021,30152,430,1936920,1649850,0
1996,30152,440,3418985,3066895,0
1999,30152,440,2004816,1836348,0
2001,30152,440,818761,763476,0
2003,30152,440,2244347,2084090,0
2005,30152,440,6953979,5470023,0
2007,30152,440,2938594,2794168,0
2009,30152,440,1591803,1602241,0
2011,30152,440,3551065,2944694,0
2013,30152,440,3717677,3309193,0
2015,30152,440,870311,885306,0
2017,30152,440,1348514,1566949,0
2019,30152,440,2476333,3078242,0
2021,30152,440,2075179,2630915,0
1996,30152,450,2396711,3025296,0
1999,30152,450,2379273,2648856,0
