sim,year,species_code,ess,value,in_out
10,2009,REBS,ess_f,508.45594202525973,in
10,2011,REBS,ess_f,259.7870469899591,in
10,2013,REBS,ess_f,380.8259767728352,in
10,2015,REBS,ess_f,584.8386273128154,in
10,2017,REBS,ess_f,193.01001623945098,in
10,2019,REBS,ess_f,43.89667867713665,in
10,2021,REBS,ess_f,301.92501339149607,in
10,1984,REBS,ess_m,637.2326381886155,in
10,1987,REBS,ess_m,183.3709471677123,in
10,1990,REBS,ess_m,584.8598775584583,in
10,1993,REBS,ess_m,225.50365112531,in
10,1996,REBS,ess_m,544.092439415028,in
10,1999,REBS,ess_m,517.065483068589,in
10,2001,REBS,ess_m,319.81955814864637,in
10,2003,REBS,ess_m,862.4763420283595,in
10,2005,REBS,ess_m,492.6107572969607,in
10,2007,REBS,ess_m,507.16063874801176,in
10,2009,REBS,ess_m,645.2396497428148,in
10,2011,REBS,ess_m,434.93902296782045,in
10,2013,REBS,ess_m,223.10043089867645,in
10,2015,REBS,ess_m,596.6776274661719,in
10,2017,REBS,ess_m,300.46268278863005,in
10,2019,REBS,ess_m,54.40051180394559,in
10,2021,REBS,ess_m,262.2708395993994,in
10,1984,REBS,ess_t,762.8479051641993,in
10,1987,REBS,ess_t,336.4380844518665,in
10,1990,REBS,ess_t,959.8809782502999,in
10,1993,REBS,ess_t,418.7270389664252,in
10,1996,REBS,ess_t,763.6626153335708,in
10,1999,REBS,ess_t,617.0494400754224,in
10,2001,REBS,ess_t,538.8124489414013,in
10,2003,REBS,ess_t,1167.4817437368195,in
10,2005,REBS,ess_t,635.0750459564435,in
10,2007,REBS,ess_t,641.7957381689146,in
10,2009,REBS,ess_t,884.992072128259,in
10,2011,REBS,ess_t,583.5410744958554,in
10,2013,REBS,ess_t,460.72880129784465,in
10,2015,REBS,ess_t,1064.0892003016565,in
10,2017,REBS,ess_t,437.44307138217835,in
10,2019,REBS,ess_t,53.403843616993754,in
10,2021,REBS,ess_t,498.5441879475651,in
11,1984,REBS,ess_f,186.66612497707763,in
11,1987,REBS,ess_f,182.02049711097507,in
11,1990,REBS,ess_f,489.60799554703436,in
11,1993,REBS,ess_f,708.7750738515771,in
11,1996,REBS,ess_f,317.89320785578536,in
11,1999,REBS,ess_f,785.9632019157065,in
11,2001,REBS,ess_f,323.4216814577705,in
11,2003,REBS,ess_f,356.88303332141595,in
11,2005,REBS,ess_f,338.8013542168332,in
