year,species_code,age,males,females,unsexed
1990,30150,16,496092.3976190476,144307.9090909091,0
1990,30150,17,18265,206758.4090909091,0
1990,30150,18,448838.63095238095,382140.68686868687,0
1990,30150,19,324120.63333333336,207408.9090909091,0
1990,30150,20,29327,102102.77777777777,0
1990,30150,21,0,297949.55555555556,0
1990,30150,22,0,102102.77777777777,0
1990,30150,24,0,17702,0
1990,30150,29,0,10179,0
1990,30150,30,176627.21428571426,0,0
1990,30150,31,104800.40000000001,10178.5,0
1990,30150,32,0,10179,0
1990,30150,46,55962.5,0,0
1990,30150,50,132446.6,0,0
1993,30150,3,170083.66666666666,43646.5,0
1993,30150,4,197000.8,45148.5,0
1993,30150,5,2069458.5333333334,1162684.3333333333,0
1993,30150,6,2959780.9142857143,2295028.2583333333,0
1993,30150,7,4908647.676190476,5979351.391655893,0
1993,30150,8,2632045.3845238094,2379569.335260818,0
1993,30150,9,3968663.3590538846,2725272.308864991,0
1993,30150,10,602861.6340972624,1119312.674520904,0
1993,30150,11,555963.0577083735,1241583.6021925786,0
1993,30150,12,448020.6825396825,670848.7928182929,0
1993,30150,13,1193172.6820384294,1503267.0562326561,0
1993,30150,14,347302.5363408521,868771.4593295594,0
1993,30150,15,976705.6670650986,1195101.9545121545,0
1993,30150,16,1061557.5164835164,1455843.6237096237,0
1993,30150,17,1284587.0072818263,1046498.4125208125,0
1993,30150,18,704044.1031746031,198350.75796425797,0
1993,30150,19,650424.9168964076,217198.03146853147,0
1993,30150,20,356213.5317460317,182904.12121212122,0
1993,30150,21,247516.01550751878,388339.0384615385,0
1993,30150,22,70994.63157894736,423977.98034188035,0
1993,30150,23,0,513658.60017237667,0
1993,30150,24,240770.96491228067,583343.7493506493,0
1993,30150,25,183878.29914529913,329216.58717948716,0
1993,30150,26,0,386236.56192696193,0
1993,30150,27,0,171323.33936651584,0
1993,30150,28,167514.24358974356,139100.95454545453,0
1993,30150,29,0,147392.53146853147,0
1993,30150,30,313314.126984127,234500.35594405595,0
1993,30150,31,260602.64285714284,269075.45454545453,0
1993,30150,32,247755.05555555553,78939.86363636363,0
1993,30150,33,82626.07692307692,0,0
1993,30150,34,270080.7149122807,201175.3398268398,0
1993,30150,35,0,122235.47619047618,0
1993,30150,36,82626.07692307692,0,0
1993,30150,38,101252.22222222222,122235.47619047618,0
1993,30150,40,0,78097.07692307692,0
1993,30150,42,0,0,0
1993,30150,43,157230.07142857142,0,0
1993,30150,48,41953.555555555555,0,0
1993,30150,49,41953.555555555555,0,0
1993,30150,51,82626.07692307692,0,0
1993,30150,59,0,69805.5,0
1996,30152,4,444237,169686.3333333333,0
1996,30152,5,186147.8333333333,154949.66666666666,0
1996,30152,6,298975.3333333333,354400.4285714286,0
1996,30152,7,93784.16666666667,81786.5303030303,0
1996,30152,8,574759.6342916343,638401.5434398934,0
1996,30152,9,1266150.2476979648,1128989.0588537806,0
1996,30152,10,4414136.217000436,4721492.397874169,0
1996,30152,11,2765597.832172467,2613549.7503289864,0
1996,30152,12,3389615.373663763,3777980.3623853507,0
1996,30152,13,348817.54990675993,1827501.9090099486,0
1996,30152,14,526883.1261562998,905422.6723859473,0
1996,30152,15,771602.3339209913,824981.7901724619,0
1996,30152,16,500904.7326806527,218820.90256410255,0
1996,30152,17,72627.60606060606,801632.8420332356,0
1996,30152,18,463265.2812587413,2049681.9748519023,0
1996,30152,19,936277.9638252975,1058727.0776942356,0
1996,30152,20,1006783.7575107348,1159412.7161540214,0
1996,30152,21,548412.3,352797.5727956254,0
1996,30152,22,313144.91962962964,451627.4809523809,0
1996,30152,23,291651.2036363636,821667.92481203,0
1996,30152,24,208502.40363636363,308702.6909774436,0
1996,30152,25,451692.84641025646,273512.8870813397,0
1996,30152,26,336014.038277512,813040.619047619,0
1996,30152,27,290408.55303030304,229343.46753246753,0
1996,30152,28,0,269494.26021505374,0
1996,30152,29,518149.3098392835,302795.1142857143,0
1996,30152,30,358605.6860606061,121297.18181818182,0
1996,30152,32,0,108046.28571428571,0
1996,30152,34,0,123454.1052631579,0
1996,30152,35,0,123454.1052631579,0
1996,30152,41,0,308367.3476190476,0
1996,30152,51,95778.75,0,0
1999,30152,4,0,19676,0
1999,30152,5,40380,0,0
1999,30152,6,0,22307.5,0
1999,30152,7,1120675.4,705321.5666666667,0
1999,30152,8,187878.9,249247.2,0
1999,30152,9,698427.0666666667,843699.8668831169,0
1999,30152,10,551300.0833333334,527997.7766233766,0
1999,30152,11,2300669.7333333334,1391402.058008658,0
1999,30152,12,4533712.916666667,4271190.686580086,0
1999,30152,13,1488656.9166666667,2441265.8705627704,0
1999,30152,14,151213.66666666666,1949747.981818182,0
1999,30152,15,401815.6666666666,408077.3333333333,0
1999,30152,16,138256.16666666666,348861.3333333333,0
1999,30152,17,0,36141.200000000004,0
1999,30152,18,0,667783.5238095238,0
1999,30152,19,733106.6666666666,68290,0
1999,30152,20,1253731.1666666665,296799.25,0
1999,30152,21,0,1314377.7333333334,0
1999,30152,22,0,759694.25,0
1999,30152,23,0,664379,0
