species_code,species_name,surv,type,avg_nss,avg_hls
10262,southern rock sole,GOA,male,2740.769230769231,192.46153846153845
10110,arrowtooth flounder,EBS_SLOPE,male,1138,82.83333333333333
10112,Kamchatka flounder,EBS_SLOPE,male,1914.5,138.5
10115,Greenland turbot,EBS_SLOPE,male,1017,108.5
30060,Pacific ocean perch,EBS_SLOPE,male,1759.1666666666667,67.33333333333333
10110,arrowtooth flounder,AI,total,10606.8,487.8
10112,Kamchatka flounder,AI,total,2718.4285714285716,303.57142857142856
21720,Pacific cod,AI,total,7079.733333333334,463.1333333333333
21740,walleye pollock,AI,total,14528.866666666667,422.93333333333334
21921,Atka mackerel,AI,total,9110.066666666668,256.8
30050,REBS rockfish complex,AI,total,2060.5333333333333,157.8
30060,Pacific ocean perch,AI,total,23538.066666666666,432.1333333333333
30420,northern rockfish,AI,total,9289.8,250.6
10110,arrowtooth flounder,EBS_SHELF,total,9778.641025641025,339.43589743589746
10115,Greenland turbot,EBS_SHELF,total,720.2564102564103,116.05128205128206
10130,flathead sole,EBS_SHELF,total,17193.30769230769,551.2307692307693
10210,yellowfin sole,EBS_SHELF,total,29803,506.4102564102564
10285,Alaska plaice,EBS_SHELF,total,10800.384615384615,439.5897435897436
21720,Pacific cod,EBS_SHELF,total,13320.48717948718,736.2820512820513
21740,walleye pollock,EBS_SHELF,total,82451.05128205128,872.6666666666666
10112,Kamchatka flounder,EBS_SHELF,total,1775.75,234.27777777777777
10110,arrowtooth flounder,GOA,total,54108.23529411765,1199.1176470588234
10130,flathead sole,GOA,total,21317.529411764706,676.0588235294117
10180,Dover sole,GOA,total,6083.705882352941,521.1176470588235
10200,rex sole,GOA,total,15072.058823529413,741.3529411764706
20510,sablefish,GOA,total,6907.529411764706,510.88235294117646
21720,Pacific cod,GOA,total,10918.35294117647,747.1176470588235
21740,walleye pollock,GOA,total,28241.58823529412,878
30050,REBS rockfish complex,GOA,total,3378.4117647058824,300.7647058823529
30060,Pacific ocean perch,GOA,total,20455.58823529412,522.8823529411765
30150,Dusky rockfish,GOA,total,1997.4705882352941,151.47058823529412
