species_code,stratum,hauljoin,vessel,cruise,sex,length,age,year
30060,21,-4509,94,200801,1,310,5,2008
10115,21,-4510,94,200801,1,730,28,2008
10115,21,-4510,94,200801,1,690,24,2008
10115,21,-4510,94,200801,1,580,11,2008
10115,21,-4510,94,200801,1,700,12,2008
10115,21,-4510,94,200801,1,640,NA,2008
10115,21,-4510,94,200801,1,660,21,2008
10115,21,-4510,94,200801,1,630,20,2008
10115,21,-4510,94,200801,1,800,22,2008
10115,21,-4510,94,200801,1,670,24,2008
10115,24,-4511,94,200801,2,890,29,2008
10115,25,-4514,94,200801,2,840,23,2008
10115,25,-4514,94,200801,2,900,28,2008
10115,23,-4512,94,200801,1,640,9,2008
30060,21,-4513,94,200801,2,420,15,2008
30060,21,-4513,94,200801,2,460,24,2008
30060,21,-4513,94,200801,2,490,29,2008
30060,21,-4513,94,200801,2,470,25,2008
30060,21,-4513,94,200801,2,480,43,2008
30060,21,-4513,94,200801,2,450,17,2008
30060,21,-4513,94,200801,2,430,18,2008
30060,21,-4513,94,200801,1,410,16,2008
30060,21,-4513,94,200801,1,300,7,2008
30060,21,-4513,94,200801,1,430,25,2008
30060,21,-4513,94,200801,1,340,8,2008
30060,21,-4513,94,200801,1,420,24,2008
30060,21,-4513,94,200801,1,400,20,2008
30060,21,-4513,94,200801,1,370,9,2008
30060,21,-4513,94,200801,1,450,46,2008
10115,22,-4515,94,200801,1,680,28,2008
10115,22,-4515,94,200801,1,640,NA,2008
10115,22,-4515,94,200801,1,720,17,2008
10115,22,-4515,94,200801,1,630,25,2008
10115,22,-4515,94,200801,1,670,17,2008
10115,22,-4515,94,200801,1,700,17,2008
30060,21,-4517,94,200801,2,360,12,2008
30060,21,-4517,94,200801,2,330,12,2008
30060,21,-4517,94,200801,2,410,23,2008
30060,21,-4517,94,200801,2,380,19,2008
30060,21,-4517,94,200801,2,400,15,2008
30060,21,-4517,94,200801,2,370,15,2008
30060,21,-4517,94,200801,1,390,20,2008
30060,21,-4517,94,200801,1,360,22,2008
30060,21,-4517,94,200801,1,350,14,2008
30060,21,-4517,94,200801,1,380,17,2008
10115,23,-4520,94,200801,2,910,30,2008
10115,23,-4520,94,200801,1,700,16,2008
10115,23,-4520,94,200801,1,680,33,2008
10115,23,-4520,94,200801,1,740,32,2008
10115,23,-4520,94,200801,1,670,32,2008
10115,23,-4520,94,200801,1,660,17,2008
10115,23,-4520,94,200801,1,650,27,2008
10115,23,-4520,94,200801,1,710,26,2008
10115,23,-4520,94,200801,1,690,20,2008
10115,23,-4520,94,200801,1,730,27,2008
10115,23,-4520,94,200801,1,600,36,2008
10115,23,-4520,94,200801,1,590,40,2008
10115,23,-4520,94,200801,1,770,17,2008
10115,23,-4520,94,200801,1,750,30,2008
30060,21,-4518,94,200801,1,400,18,2008
30060,21,-4518,94,200801,1,360,17,2008
30060,21,-4518,94,200801,1,380,21,2008
30060,21,-4518,94,200801,1,340,11,2008
30060,21,-4518,94,200801,1,440,76,2008
30060,21,-4518,94,200801,1,320,7,2008
30060,21,-4518,94,200801,2,460,27,2008
30060,21,-4518,94,200801,2,350,13,2008
30060,21,-4518,94,200801,2,360,8,2008
30060,21,-4518,94,200801,2,380,17,2008
30060,21,-4518,94,200801,2,420,22,2008
30060,21,-4518,94,200801,2,410,19,2008
30060,21,-4518,94,200801,2,440,19,2008
30060,21,-4518,94,200801,2,390,18,2008
30060,21,-4518,94,200801,2,370,18,2008
30060,21,-4518,94,200801,2,400,19,2008
30060,21,-4518,94,200801,2,440,53,2008
30060,21,-4518,94,200801,2,450,22,2008
30060,21,-4518,94,200801,2,390,18,2008
30060,21,-4518,94,200801,2,340,12,2008
30060,21,-4518,94,200801,2,470,53,2008
30060,21,-4518,94,200801,2,430,28,2008
30060,21,-4518,94,200801,1,370,19,2008
30060,21,-4518,94,200801,1,390,27,2008
30060,21,-4518,94,200801,1,430,27,2008
30060,21,-4518,94,200801,1,410,48,2008
30060,21,-4518,94,200801,1,420,64,2008
30060,21,-4518,94,200801,1,350,13,2008
10115,22,-4519,94,200801,1,750,20,2008
10115,22,-4522,94,200801,1,650,29,2008
10115,22,-4522,94,200801,1,1170,29,2008
10115,11,-4525,94,200801,2,990,33,2008
10115,11,-4525,94,200801,2,840,31,2008
10115,33,-4527,94,200801,1,700,30,2008
10115,33,-4527,94,200801,1,650,12,2008
10115,33,-4527,94,200801,1,680,NA,2008
10115,33,-4527,94,200801,1,690,31,2008
10115,33,-4527,94,200801,1,760,34,2008
10115,33,-4527,94,200801,1,570,12,2008
10115,33,-4527,94,200801,1,660,14,2008
10115,33,-4527,94,200801,2,850,17,2008
10115,42,-4530,94,200801,2,930,27,2008
10115,42,-4530,94,200801,1,690,23,2008
10115,42,-4530,94,200801,1,650,14,2008
10115,42,-4530,94,200801,1,580,11,2008
10115,42,-4530,94,200801,1,550,15,2008
10115,44,-4528,94,200801,2,840,27,2008
10115,44,-4528,94,200801,1,720,36,2008
10115,44,-4528,94,200801,1,750,16,2008
10115,43,-4531,94,200801,2,920,20,2008
10115,43,-4531,94,200801,2,900,21,2008
10115,43,-4531,94,200801,1,700,32,2008
10115,43,-4531,94,200801,1,570,10,2008
10115,43,-4531,94,200801,1,710,22,2008
10115,45,-4532,94,200801,2,920,21,2008
30060,41,-4534,94,200801,1,320,10,2008
30060,41,-4534,94,200801,1,310,9,2008
30060,41,-4534,94,200801,1,280,6,2008
30060,41,-4534,94,200801,1,290,6,2008
30060,41,-4534,94,200801,1,260,6,2008
30060,41,-4534,94,200801,2,290,6,2008
30060,41,-4534,94,200801,2,280,7,2008
30060,41,-4534,94,200801,2,240,6,2008
30060,41,-4534,94,200801,2,260,6,2008
10115,42,-4535,94,200801,1,680,18,2008
10115,42,-4535,94,200801,1,630,13,2008
10115,42,-4535,94,200801,1,700,NA,2008
10115,42,-4535,94,200801,1,720,16,2008
10115,42,-4535,94,200801,1,790,16,2008
10115,42,-4535,94,200801,1,660,15,2008
10115,42,-4535,94,200801,2,610,11,2008
10115,42,-4535,94,200801,2,870,NA,2008
10115,42,-4535,94,200801,2,940,22,2008
10115,42,-4538,94,200801,2,1060,28,2008
10115,42,-4538,94,200801,2,860,NA,2008
10115,42,-4538,94,200801,2,1000,30,2008
10115,42,-4538,94,200801,2,930,NA,2008
10115,42,-4538,94,200801,2,620,NA,2008
10115,42,-4538,94,200801,1,700,20,2008
10115,42,-4538,94,200801,1,730,18,2008
10115,42,-4538,94,200801,1,720,28,2008
10115,42,-4538,94,200801,1,690,23,2008
10115,42,-4538,94,200801,1,740,23,2008
10115,43,-4537,94,200801,1,630,12,2008
10115,43,-4537,94,200801,2,990,29,2008
30060,41,-4539,94,200801,2,430,26,2008
30060,41,-4539,94,200801,2,380,13,2008
