year,species_code,length,males,females,unsexed
2019,10110,740,0,36140,0
2021,10110,740,0,396530,0
2017,10110,750,0,0,0
2018,10110,750,0,16548,0
2019,10110,750,0,0,0
2021,10110,750,0,127446,0
2017,10110,760,0,99335,0
2018,10110,760,0,0,0
2019,10110,760,0,47098,0
2021,10110,760,0,0,0
2017,10110,770,0,65507,0
2018,10110,770,0,0,0
2019,10110,770,0,0,0
2021,10110,770,0,0,0
2017,10110,780,0,31049,0
2018,10110,780,0,0,0
2019,10110,780,0,245576,0
2021,10110,780,0,48685,0
2017,10110,790,0,46359,0
2018,10110,790,0,0,0
2019,10110,790,0,0,0
2021,10110,790,0,0,0
2017,10110,800,0,31049,0
2018,10110,800,0,0,0
2019,10110,800,0,0,0
2021,10110,800,0,0,0
2017,10110,810,0,253355,0
2018,10110,810,0,0,0
2019,10110,810,0,0,0
2021,10110,810,0,0,0
2017,10110,820,0,28522,0
2018,10110,820,0,0,0
2019,10110,820,0,0,0
2021,10110,820,0,0,0
2017,10112,80,87413,0,0
2018,10112,80,0,0,0
2019,10112,80,0,0,0
2021,10112,80,0,0,0
2017,10112,90,0,232178,0
2018,10112,90,0,0,0
2019,10112,90,0,0,0
2021,10112,90,0,0,0
2017,10112,100,94143,0,0
2018,10112,100,0,0,0
2019,10112,100,0,0,33125
2021,10112,100,0,0,0
2017,10112,110,31049,26280,29936
2018,10112,110,0,0,30202
2019,10112,110,0,0,88763
2021,10112,110,0,0,0
2017,10112,120,60111,28645,0
2018,10112,120,92621,0,30202
2019,10112,120,0,0,68898
2021,10112,120,0,0,0
2017,10112,130,0,29936,144498
2018,10112,130,174555,265714,0
2019,10112,130,28939,57985,57174
2021,10112,130,0,0,0
2017,10112,140,27673,189792,0
2018,10112,140,213558,485774,30576
2019,10112,140,171871,29046,0
2021,10112,140,30157,0,0
2017,10112,150,211764,150359,0
2018,10112,150,518524,461197,0
2019,10112,150,143127,66258,28587
2021,10112,150,28853,26917,0
2017,10112,160,360999,322198,0
2018,10112,160,761491,878157,0
2019,10112,160,82548,332163,0
2021,10112,160,83875,59319,0
2017,10112,170,966434,918854,26452
2018,10112,170,1730281,1143137,0
2019,10112,170,331876,74779,0
2021,10112,170,232713,130882,52990
2017,10112,180,1676359,1049684,0
2018,10112,180,1505168,828484,0
2019,10112,180,226307,126296,0
2021,10112,180,273610,177784,111127
2017,10112,190,1457353,1283921,0
2018,10112,190,513870,786707,30576
2019,10112,190,316825,345813,0
2021,10112,190,169511,192567,0
2017,10112,200,939664,1589242,0
2018,10112,200,642307,394195,0
2019,10112,200,394317,214845,0
2021,10112,200,678566,272757,0
2017,10112,210,1375015,935060,0
2018,10112,210,762918,501192,16548
2019,10112,210,572947,370350,0
2021,10112,210,507167,356359,52990
2017,10112,220,748697,2009052,0
2018,10112,220,411921,349750,16548
2019,10112,220,428079,676110,0
2021,10112,220,894828,357578,105979
2017,10112,230,1145830,1029584,0
2018,10112,230,1370781,1024257,0
2019,10112,230,489437,385304,0
2021,10112,230,1481029,580346,169264
2017,10112,240,3217842,1762191,0
2018,10112,240,1099131,1396823,0
2019,10112,240,875224,613113,0
2021,10112,240,1348934,1463746,169264
2017,10112,250,2202245,3563995,0
2018,10112,250,1150414,1259223,0
2019,10112,250,997371,882489,0
2021,10112,250,2181964,1331332,227402
2017,10112,260,3102760,2100555,0
2018,10112,260,2075001,1260992,0
2019,10112,260,1602577,1164778,0
