year,length,species_code,males,females,unsexed,region
2009,160,10262,25207,0,0,E
2009,170,10262,75797,0,0,E
2009,180,10262,73416,0,0,E
2009,190,10262,135438,100829,0,E
2009,200,10262,0,101005,0,E
2009,210,10262,94578,126387,0,E
2009,220,10261,0,0,0,E
2009,220,10262,75710,75622,0,E
2009,230,10261,0,0,0,E
2009,230,10262,117492,74469,0,E
2009,240,10261,26291,0,0,E
2009,240,10262,250477,124884,0,E
2009,250,10262,144817,67867,0,E
2009,260,10261,0,0,0,E
2009,260,10262,99677,73852,0,E
2009,270,10262,240546,25295,0,E
2009,280,10262,278353,187828,0,E
2009,290,10261,0,26291,0,E
2009,290,10262,101005,95554,0,E
2009,300,10261,0,0,0,E
2009,300,10262,45139,139810,0,E
2009,310,10261,0,0,0,E
2009,310,10262,0,299527,0,E
2009,320,10262,79038,326050,0,E
2009,330,10262,0,277982,0,E
2009,340,10261,0,26291,0,E
2009,340,10262,29864,265697,0,E
2009,350,10261,0,0,0,E
2009,350,10262,89592,372526,0,E
2009,360,10262,59728,193387,0,E
2009,370,10262,29864,251985,0,E
2009,380,10262,35830,96080,0,E
2009,390,10262,29864,230770,0,E
2009,400,10262,29864,171000,0,E
2009,410,10262,0,59728,0,E
2009,420,10262,0,152146,0,E
2009,430,10262,0,175251,0,E
2009,440,10262,0,253006,0,E
2009,450,10262,0,234343,0,E
2009,460,10261,0,0,0,E
2009,460,10262,0,175251,0,E
2009,470,10262,0,209048,0,E
2009,480,10262,0,114887,0,E
2009,490,10262,0,29864,0,E
2009,500,10262,0,121489,0,E
2009,510,10262,0,35830,0,E
2009,520,10262,0,0,0,E
2009,530,10262,0,35146,0,E
2009,540,10262,0,0,0,E
2009,550,10262,0,0,0,E
2009,570,10262,0,0,0,E
2011,100,10262,0,0,0,E
2011,130,10262,0,0,0,E
2011,140,10262,22298,0,0,E
2011,150,10262,0,0,0,E
2011,160,10262,36213,0,0,E
2011,170,10262,0,64483,0,E
2011,180,10262,201393,226266,0,E
2011,190,10262,122994,229663,0,E
2011,200,10262,36213,128967,0,E
2011,210,10262,182964,209335,0,E
2011,220,10261,0,0,0,E
2011,220,10262,290750,391198,0,E
2011,230,10261,0,39910,0,E
2011,230,10262,616562,400736,0,E
2011,240,10261,0,0,0,E
2011,240,10262,199916,110559,0,E
2011,250,10262,173122,150664,0,E
2011,260,10261,0,39910,0,E
2011,260,10262,326902,259904,0,E
2011,270,10262,251767,436047,0,E
2011,280,10262,379457,293546,0,E
2011,290,10261,0,0,0,E
2011,290,10262,444937,269464,0,E
2011,300,10261,0,119730,0,E
2011,300,10262,265275,275358,0,E
2011,310,10261,0,79820,0,E
2011,310,10262,278101,378604,0,E
2011,320,10262,335951,210187,0,E
