year,species_code,length,males,females,unsexed
2002,REBS,480,384554,220595,0
2004,REBS,480,340721,233885,0
1980,REBS,490,85204,120898,0
1983,REBS,490,130612,103106,0
1986,REBS,490,257406,1066816,0
1991,REBS,490,64748,69148,0
1994,REBS,490,73433,63577,0
1997,REBS,490,78544,146430,0
2000,REBS,490,131315,176408,4573
2002,REBS,490,112777,181944,0
2004,REBS,490,176257,246489,0
1980,REBS,500,80599,85204,0
1983,REBS,500,82599,76790,0
1986,REBS,500,102292,491892,0
1991,REBS,500,77896,95830,0
1994,REBS,500,43708,37661,0
1997,REBS,500,46276,54694,0
2000,REBS,500,166611,167568,0
2002,REBS,500,48262,75454,0
2004,REBS,500,228324,129560,0
1980,REBS,510,44904,20150,0
1983,REBS,510,29782,27072,0
1986,REBS,510,125921,323296,0
1991,REBS,510,0,0,0
1994,REBS,510,34555,26768,0
1997,REBS,510,17505,37401,0
2000,REBS,510,42274,36565,0
2002,REBS,510,56927,68599,0
2004,REBS,510,59632,126043,0
1980,REBS,520,4605,40299,0
1983,REBS,520,25973,30597,0
1986,REBS,520,114497,38112,0
1991,REBS,520,4520,0,0
1994,REBS,520,17600,5143,0
1997,REBS,520,42531,28274,0
2000,REBS,520,59892,89305,0
2002,REBS,520,47512,22849,0
2004,REBS,520,19146,94054,0
1980,REBS,530,0,0,0
1983,REBS,530,46534,44224,0
1986,REBS,530,287807,330116,0
1991,REBS,530,5522,0,0
1994,REBS,530,3768,5143,0
1997,REBS,530,7155,0,0
2000,REBS,530,11523,15634,0
2002,REBS,530,68141,22926,0
2004,REBS,530,31384,23825,0
1980,REBS,540,0,0,0
1983,REBS,540,37446,47706,0
1986,REBS,540,66369,42104,0
1991,REBS,540,19397,0,0
1994,REBS,540,5250,36429,0
1997,REBS,540,17161,28213,0
2000,REBS,540,10292,23773,0
2002,REBS,540,0,6207,0
2004,REBS,540,13391,10135,0
1980,REBS,550,60449,0,0
1983,REBS,550,7488,4383,0
1986,REBS,550,17793,36379,0
1991,REBS,550,0,0,0
1994,REBS,550,5717,1540,0
1997,REBS,550,6928,0,0
2000,REBS,550,0,6879,0
2002,REBS,550,5683,0,0
2004,REBS,550,0,27999,0
1980,REBS,560,0,20150,0
1983,REBS,560,13296,0,0
1986,REBS,560,5393,34321,0
1991,REBS,560,0,0,0
1994,REBS,560,15248,14978,0
1997,REBS,560,9834,0,0
2000,REBS,560,0,0,0
2002,REBS,560,0,0,0
2004,REBS,560,9452,13567,0
1980,REBS,570,0,0,0
1983,REBS,570,50951,904,0
1986,REBS,570,33528,18360,0
1991,REBS,570,0,0,0
1994,REBS,570,3891,0,0
1997,REBS,570,0,0,0
2000,REBS,570,0,0,0
2002,REBS,570,9552,15617,0
2004,REBS,570,0,20670,0
1980,REBS,580,0,0,0
1983,REBS,580,7097,0,0
1986,REBS,580,1799,22375,0
1991,REBS,580,0,0,0
1994,REBS,580,30687,12033,0
1997,REBS,580,0,0,0
2000,REBS,580,8815,0,0
2002,REBS,580,0,0,0
2004,REBS,580,7459,0,0
1980,REBS,590,20150,0,0
1983,REBS,590,3970,0,0
1986,REBS,590,25245,2791,0
1991,REBS,590,0,0,0
1994,REBS,590,0,0,0
1997,REBS,590,0,0,0
2000,REBS,590,0,0,0
2002,REBS,590,0,0,0
2004,REBS,590,10355,8309,0
1980,REBS,600,0,0,0
1983,REBS,600,5306,1516,0
1986,REBS,600,48346,3151,0
1991,REBS,600,0,0,0
1994,REBS,600,8743,0,0
1997,REBS,600,0,0,0
2000,REBS,600,0,0,0
2002,REBS,600,0,0,0
2004,REBS,600,0,0,0
1980,REBS,610,0,20150,0
1983,REBS,610,7760,0,0
1986,REBS,610,13878,0,0
1991,REBS,610,0,0,0
1994,REBS,610,8743,0,0
1997,REBS,610,38762,0,0
2000,REBS,610,0,0,0
2002,REBS,610,0,0,0
2004,REBS,610,5126,0,0
1980,REBS,620,0,0,0
1983,REBS,620,0,0,0
1986,REBS,620,0,0,0
1991,REBS,620,0,8045,0
1994,REBS,620,8743,8743,0
1997,REBS,620,0,0,0
2000,REBS,620,8205,0,0
2002,REBS,620,2168,0,0
2004,REBS,620,5126,0,0
1980,REBS,630,0,0,0
1983,REBS,630,3790,0,0
1986,REBS,630,0,0,0
1991,REBS,630,0,0,0
1994,REBS,630,8743,0,0
1997,REBS,630,0,0,0
2000,REBS,630,9136,0,0
2002,REBS,630,0,0,0
2004,REBS,630,9111,0,0
1980,REBS,640,0,0,0
1983,REBS,640,13381,0,0
1986,REBS,640,0,0,0
1991,REBS,640,0,0,0
1994,REBS,640,0,0,0
1997,REBS,640,0,0,0
2000,REBS,640,0,0,0
2002,REBS,640,0,0,0
2004,REBS,640,0,0,0
